mu,record,split,avAE_bpm,sdAE_bpm,avRE_percent,pearson_r
0.1,DATA_09_TYPE02,training,9.418903696518454,19.743364162965545,10.557229360541209,0.4641714548009225
0.1,DATA_10_TYPE02,training,26.065669714765104,22.87047772404287,16.01127668978593,0.3374652840016351
0.1,DATA_11_TYPE02,training,9.114716933457167,12.296183319497544,5.762396049703998,0.76418912375182
0.1,DATA_12_TYPE02,training,4.812289688570205,6.8333105683335695,3.2580183805044767,0.9429107203078516
0.1,TEST_S01_T01,competition,26.237423731844192,19.92386424005002,36.517579367543185,0.2224693518585119
0.1,TEST_S02_T01,competition,45.20041500342153,27.82892238594722,61.773639088815365,0.0577141389396063
0.1,TEST_S02_T02,competition,11.550974446614582,15.105417030600268,9.560817640617367,0.5400153918657181
0.1,TEST_S03_T02,competition,21.600251079358554,16.88011857046027,13.703281897872545,0.3413589661950805
0.1,TEST_S04_T02,competition,14.5504393177599,14.553446118192603,12.010979232924374,0.4046193343994122
0.1,TEST_S05_T02,competition,7.040400179140127,6.909800733346634,5.267383990693151,0.5735277576343437
0.1,TEST_S06_T01,competition,20.91153039180871,21.855091648553188,24.509670712483167,0.2836229390676643
0.1,TEST_S06_T02,competition,12.19517518981074,12.607965644522183,8.645732541407497,0.4888931257314171
0.1,TEST_S07_T02,competition,14.858232341167357,11.897851651578708,11.829316723081323,-0.0043721877214818
0.1,TEST_S08_T01,competition,14.2594016015625,17.843263260491923,16.964213039564388,-0.203485166661799
1.0,DATA_01_TYPE01,training,26.975701533403516,18.546131514276063,21.48473428406321,0.3212546367186991
1.0,DATA_02_TYPE02,training,19.249708125713852,14.06826368752974,15.94982568843616,0.4895052481933654
1.0,DATA_03_TYPE02,training,22.539747416294645,18.43297742512605,16.314614872408523,0.4379054608102947
1.0,DATA_04_TYPE02,training,15.51839091395548,12.076473927923423,12.807069531518756,0.5839849963474257
1.0,DATA_05_TYPE02,training,20.09040747806079,14.947891019560767,14.246355195282495,0.119010278161858
1.0,DATA_06_TYPE02,training,35.991330109375,16.140626500422396,28.50382037666704,-0.297131156778897
1.0,DATA_07_TYPE02,training,37.53994537341123,15.345718913198905,26.77465024673944,0.2638124216811602
1.0,DATA_08_TYPE02,training,13.76492656982422,22.21023416803902,14.33565654438583,-0.0080937646716065
1.0,DATA_09_TYPE02,training,12.456128316380036,14.65876275240445,11.458323955418336,0.5669804504436317
1.0,DATA_10_TYPE02,training,36.53017824035234,14.15557918506189,22.387889512039408,0.2849431649593306
1.0,DATA_11_TYPE02,training,30.946132899912588,11.791499511374113,19.891459935791502,0.5854855926613977
1.0,DATA_12_TYPE02,training,22.894142636986302,15.749705814318082,16.17172349509159,0.1856457676576256
1.0,TEST_S01_T01,competition,28.157944074603872,20.168745826683296,38.65223469975569,0.1708040182468565
1.0,TEST_S02_T01,competition,40.774435104927,26.494637886476568,55.12354477591647,0.1510624999727723
1.0,TEST_S02_T02,competition,33.8045850016276,22.02999411204357,26.532841637361827,0.0059797397490915
1.0,TEST_S03_T02,competition,51.08416697933799,22.5063439772106,32.26954108335555,-0.0654088393163941
1.0,TEST_S04_T02,competition,30.74255391398514,19.89630143903727,25.151719868779516,0.0621381696297261
1.0,TEST_S05_T02,competition,17.96197331558519,15.83269964211052,13.198962993795371,0.1639189431194398
1.0,TEST_S06_T01,competition,16.330509854403413,12.946260656332075,18.558367218850194,0.5968286752498905
1.0,TEST_S06_T02,competition,31.161706893705983,21.041053583173593,21.54930427803072,0.0690754044702681
1.0,TEST_S07_T02,competition,27.83171297133265,18.774902163250687,22.223703065087655,-0.0676244866977855
1.0,TEST_S08_T01,competition,36.94054763671875,18.40683828734664,42.65130398711609,0.5606986413587772
